id,t,layer,concept_separated,accuracy
115,980,9,"(False, True, False)",0.5205992509363296
116,980,9,"(False, False, True)",0.4117647058823529
117,980,9,"(True, True, False)",0.5277777777777778
118,980,9,"(True, False, True)",0.5357142857142857
119,980,9,"(False, True, True)",0.45555555555555555
120,980,12,"(True, False, False)",0.4755244755244755
121,980,12,"(False, True, False)",0.5093632958801498
122,980,12,"(False, False, True)",0.4411764705882353
123,980,12,"(True, True, False)",0.53125
124,980,12,"(True, False, True)",0.5178571428571429
125,980,12,"(False, True, True)",0.4666666666666667
126,980,15,"(True, False, False)",0.4755244755244755
127,980,15,"(False, True, False)",0.5243445692883895
128,980,15,"(False, False, True)",0.4852941176470588
129,980,15,"(True, True, False)",0.5277777777777778
130,980,15,"(True, False, True)",0.5
131,980,15,"(False, True, True)",0.4666666666666667
132,980,18,"(True, False, False)",0.48951048951048953
133,980,18,"(False, True, False)",0.49812734082397003
134,980,18,"(False, False, True)",0.47058823529411764
135,980,18,"(True, True, False)",0.5277777777777778
136,980,18,"(True, False, True)",0.5178571428571429
137,980,18,"(False, True, True)",0.45555555555555555
138,980,21,"(True, False, False)",0.4825174825174825
139,980,21,"(False, True, False)",0.5131086142322098
140,980,21,"(False, False, True)",0.5441176470588235
141,980,21,"(True, True, False)",0.5277777777777778
142,980,21,"(True, False, True)",0.5535714285714286
143,980,21,"(False, True, True)",0.4666666666666667
144,970,0,"(True, False, False)",0.5454545454545454
145,970,0,"(False, True, False)",0.5393258426966292
146,970,0,"(False, False, True)",0.47058823529411764
147,970,0,"(True, True, False)",0.5625
148,970,0,"(True, False, True)",0.5
149,970,0,"(False, True, True)",0.4722222222222222
150,970,3,"(True, False, False)",0.5244755244755245
151,970,3,"(False, True, False)",0.5280898876404494
152,970,3,"(False, False, True)",0.47058823529411764
153,970,3,"(True, True, False)",0.5347222222222222
154,970,3,"(True, False, True)",0.5892857142857143
155,970,3,"(False, True, True)",0.4666666666666667
156,970,6,"(True, False, False)",0.5104895104895105
157,970,6,"(False, True, False)",0.5430711610486891
158,970,6,"(False, False, True)",0.4852941176470588
159,970,6,"(True, True, False)",0.5347222222222222
160,970,6,"(True, False, True)",0.5535714285714286
161,970,6,"(False, True, True)",0.4444444444444444
162,970,9,"(True, False, False)",0.5384615384615384
163,970,9,"(False, True, False)",0.5355805243445693
164,970,9,"(False, False, True)",0.5
165,970,9,"(True, True, False)",0.5416666666666666
166,970,9,"(True, False, True)",0.5535714285714286
167,970,9,"(False, True, True)",0.4666666666666667
168,970,12,"(True, False, False)",0.5384615384615384
169,970,12,"(False, True, False)",0.5468164794007491
170,970,12,"(False, False, True)",0.5
171,970,12,"(True, True, False)",0.5659722222222222
172,970,12,"(True, False, True)",0.5357142857142857
173,970,12,"(False, True, True)",0.4666666666666667
174,970,15,"(True, False, False)",0.5454545454545454
175,970,15,"(False, True, False)",0.5355805243445693
176,970,15,"(False, False, True)",0.47058823529411764
177,970,15,"(True, True, False)",0.5625
178,970,15,"(True, False, True)",0.48214285714285715
179,970,15,"(False, True, True)",0.45
180,970,18,"(True, False, False)",0.5524475524475524
181,970,18,"(False, True, False)",0.5205992509363296
182,970,18,"(False, False, True)",0.47058823529411764
183,970,18,"(True, True, False)",0.5555555555555556
184,970,18,"(True, False, True)",0.5
185,970,18,"(False, True, True)",0.4666666666666667
186,970,21,"(True, False, False)",0.5314685314685315
187,970,21,"(False, True, False)",0.5318352059925093
188,970,21,"(False, False, True)",0.45588235294117646
189,970,21,"(True, True, False)",0.5486111111111112
190,970,21,"(True, False, True)",0.5
191,970,21,"(False, True, True)",0.45555555555555555
192,960,0,"(True, False, False)",0.5454545454545454
193,960,0,"(False, True, False)",0.5093632958801498
194,960,0,"(False, False, True)",0.5147058823529411
195,960,0,"(True, True, False)",0.5381944444444444
196,960,0,"(True, False, True)",0.5535714285714286
197,960,0,"(False, True, True)",0.45555555555555555
198,960,3,"(True, False, False)",0.5454545454545454
199,960,3,"(False, True, False)",0.5243445692883895
200,960,3,"(False, False, True)",0.5294117647058824
201,960,3,"(True, True, False)",0.5243055555555556
202,960,3,"(True, False, True)",0.5714285714285714
203,960,3,"(False, True, True)",0.4388888888888889
204,960,6,"(True, False, False)",0.5594405594405595
205,960,6,"(False, True, False)",0.5318352059925093
206,960,6,"(False, False, True)",0.5
207,960,6,"(True, True, False)",0.5347222222222222
208,960,6,"(True, False, True)",0.5714285714285714
209,960,6,"(False, True, True)",0.46111111111111114
210,960,9,"(True, False, False)",0.5384615384615384
211,960,9,"(False, True, False)",0.5355805243445693
212,960,9,"(False, False, True)",0.45588235294117646
213,960,9,"(True, True, False)",0.5520833333333334
214,960,9,"(True, False, True)",0.5535714285714286
215,960,9,"(False, True, True)",0.4722222222222222
216,960,12,"(True, False, False)",0.5594405594405595
217,960,12,"(False, True, False)",0.5355805243445693
218,960,12,"(False, False, True)",0.4411764705882353
219,960,12,"(True, True, False)",0.5347222222222222
220,960,12,"(True, False, True)",0.5535714285714286
221,960,12,"(False, True, True)",0.48333333333333334
222,960,15,"(True, False, False)",0.5384615384615384
223,960,15,"(False, True, False)",0.5280898876404494
224,960,15,"(False, False, True)",0.5
225,960,15,"(True, True, False)",0.5416666666666666
