id,t,layer,digit_separated,accuracy
270,970,9,0,0.37142857142857144
271,970,9,1,0.4527027027027027
272,970,9,2,0.41379310344827586
273,970,9,3,0.6818181818181818
274,970,9,4,0.5294117647058824
275,970,9,5,0.4230769230769231
276,970,9,6,0.5
277,970,9,7,0.4067796610169492
278,970,9,8,0.4
279,970,9,9,0.36363636363636365
280,970,12,0,0.4
281,970,12,1,0.46621621621621623
282,970,12,2,0.41379310344827586
283,970,12,3,0.6363636363636364
284,970,12,4,0.5294117647058824
285,970,12,5,0.4230769230769231
286,970,12,6,0.47368421052631576
287,970,12,7,0.4406779661016949
288,970,12,8,0.45
289,970,12,9,0.36363636363636365
290,970,15,0,0.4
291,970,15,1,0.46621621621621623
292,970,15,2,0.41379310344827586
293,970,15,3,0.6363636363636364
294,970,15,4,0.49019607843137253
295,970,15,5,0.4230769230769231
296,970,15,6,0.47368421052631576
297,970,15,7,0.423728813559322
298,970,15,8,0.45
299,970,15,9,0.3409090909090909
300,970,18,0,0.34285714285714286
301,970,18,1,0.46621621621621623
302,970,18,2,0.41379310344827586
303,970,18,3,0.5909090909090909
304,970,18,4,0.47058823529411764
305,970,18,5,0.4230769230769231
306,970,18,6,0.5
307,970,18,7,0.4406779661016949
308,970,18,8,0.425
309,970,18,9,0.3409090909090909
310,970,21,0,0.4
311,970,21,1,0.46621621621621623
312,970,21,2,0.4827586206896552
313,970,21,3,0.7272727272727273
314,970,21,4,0.5294117647058824
315,970,21,5,0.4230769230769231
316,970,21,6,0.47368421052631576
317,970,21,7,0.4406779661016949
318,970,21,8,0.4
319,970,21,9,0.3409090909090909
320,960,0,0,0.4857142857142857
321,960,0,1,0.5
322,960,0,2,0.5517241379310345
323,960,0,3,0.6818181818181818
324,960,0,4,0.5098039215686274
325,960,0,5,0.5
326,960,0,6,0.5
327,960,0,7,0.3898305084745763
328,960,0,8,0.425
329,960,0,9,0.4318181818181818
330,960,3,0,0.4857142857142857
331,960,3,1,0.5135135135135135
332,960,3,2,0.4827586206896552
333,960,3,3,0.6818181818181818
334,960,3,4,0.5098039215686274
